,Species,Brain,Days,Region,Period,time,PAM Cluster
HSB97.DFC,Human,HSB97,119,DFC,5,5,2
HSB97.HIP,Human,HSB97,119,HIP,5,5,2
HSB97.IPC,Human,HSB97,119,IPC,5,5,2
HSB97.MD,Human,HSB97,119,MD,5,5,2
HSB97.MFC,Human,HSB97,119,MFC,5,5,2
HSB97.MSC,Human,HSB97,119,MSC,5,5,2
HSB97.OFC,Human,HSB97,119,OFC,5,5,2
HSB97.STC,Human,HSB97,119,STC,5,5,2
HSB97.STR,Human,HSB97,119,STR,5,5,2
HSB97.V1C,Human,HSB97,119,V1C,5,5,2
HSB97.VFC,Human,HSB97,119,VFC,5,5,2
HSB98.A1C,Human,HSB98,133,A1C,6,6,2
HSB98.DFC,Human,HSB98,133,DFC,6,6,2
HSB98.HIP,Human,HSB98,133,HIP,6,6,2
HSB98.IPC,Human,HSB98,133,IPC,6,6,2
HSB98.MD,Human,HSB98,133,MD,6,6,2
HSB98.MFC,Human,HSB98,133,MFC,6,6,2
HSB98.MSC,Human,HSB98,133,MSC,6,6,2
HSB98.STC,Human,HSB98,133,STC,6,6,2
HSB98.STR,Human,HSB98,133,STR,6,6,2
HSB98.V1C,Human,HSB98,133,V1C,6,6,2
HSB98.VFC,Human,HSB98,133,VFC,6,6,2
HSB107.AMY,Human,HSB107,147,AMY,6,6,2
HSB107.CBC,Human,HSB107,147,CBC,6,6,2
HSB107.DFC,Human,HSB107,147,DFC,6,6,2
HSB107.HIP,Human,HSB107,147,HIP,6,6,2
HSB107.ITC,Human,HSB107,147,ITC,6,6,2
HSB107.MD,Human,HSB107,147,MD,6,6,2
HSB107.MFC,Human,HSB107,147,MFC,6,6,2
HSB107.OFC,Human,HSB107,147,OFC,6,6,2
HSB107.STC,Human,HSB107,147,STC,6,6,2
HSB107.STR,Human,HSB107,147,STR,6,6,2
HSB107.V1C,Human,HSB107,147,V1C,6,6,2
HSB107.VFC,Human,HSB107,147,VFC,6,6,2
HSB92.AMY,Human,HSB92,147,AMY,6,6,2
HSB92.CBC,Human,HSB92,147,CBC,6,6,2
HSB92.IPC,Human,HSB92,147,IPC,6,6,2
HSB92.HIP,Human,HSB92,147,HIP,6,6,2
HSB92.DFC,Human,HSB92,147,DFC,6,6,2
HSB92.VFC,Human,HSB92,147,VFC,6,6,2
HSB92.OFC,Human,HSB92,147,OFC,6,6,2
HSB92.MD,Human,HSB92,147,MD,6,6,2
HSB92.S1C,Human,HSB92,147,S1C,6,6,2
HSB92.M1C,Human,HSB92,147,M1C,6,6,2
HSB92.MFC,Human,HSB92,147,MFC,6,6,2
HSB92.STC,Human,HSB92,147,STC,6,6,2
HSB92.STR,Human,HSB92,147,STR,6,6,2
HSB92.V1C,Human,HSB92,147,V1C,6,6,2
HSB92.ITC,Human,HSB92,147,ITC,6,6,2
HSB159.A1C,Human,HSB159,154,A1C,6,6,2
HSB159.AMY,Human,HSB159,154,AMY,6,6,2
HSB159.CBC,Human,HSB159,154,CBC,6,6,2
HSB159.DFC,Human,HSB159,154,DFC,6,6,2
HSB159.HIP,Human,HSB159,154,HIP,6,6,2
HSB159.IPC,Human,HSB159,154,IPC,6,6,2
HSB159.ITC,Human,HSB159,154,ITC,6,6,2
HSB159.M1C,Human,HSB159,154,M1C,6,6,2
HSB159.MD,Human,HSB159,154,MD,6,6,2
HSB159.MFC,Human,HSB159,154,MFC,6,6,2
HSB159.OFC,Human,HSB159,154,OFC,6,6,2
HSB159.S1C,Human,HSB159,154,S1C,6,6,2
HSB159.STC,Human,HSB159,154,STC,6,6,2
HSB159.STR,Human,HSB159,154,STR,6,6,2
HSB159.V1C,Human,HSB159,154,V1C,6,6,2
HSB159.VFC,Human,HSB159,154,VFC,6,6,2
HSB194.A1C,Human,HSB194,259,A1C,7,7,3
HSB194.CBC,Human,HSB194,259,CBC,7,7,3
HSB194.DFC,Human,HSB194,259,DFC,7,7,3
HSB194.HIP,Human,HSB194,259,HIP,7,7,3
HSB194.IPC,Human,HSB194,259,IPC,7,7,3
HSB194.ITC,Human,HSB194,259,ITC,7,7,3
HSB194.M1C,Human,HSB194,259,M1C,7,7,3
HSB194.MFC,Human,HSB194,259,MFC,7,7,3
HSB194.OFC,Human,HSB194,259,OFC,7,7,3
HSB194.S1C,Human,HSB194,259,S1C,7,7,3
HSB194.STC,Human,HSB194,259,STC,7,7,3
HSB194.STR,Human,HSB194,259,STR,7,7,3
HSB194.V1C,Human,HSB194,259,V1C,7,7,3
HSB194.VFC,Human,HSB194,259,VFC,7,7,3
HSB132.A1C,Human,HSB132,388,A1C,8,8,3
HSB132.AMY,Human,HSB132,388,AMY,8,8,3
HSB132.CBC,Human,HSB132,388,CBC,8,8,3
HSB132.HIP,Human,HSB132,388,HIP,8,8,3
HSB132.IPC,Human,HSB132,388,IPC,8,8,3
HSB132.ITC,Human,HSB132,388,ITC,8,8,3
HSB132.M1C,Human,HSB132,388,M1C,8,8,3
HSB132.MD,Human,HSB132,388,MD,8,8,3
HSB132.MFC,Human,HSB132,388,MFC,8,8,3
HSB132.S1C,Human,HSB132,388,S1C,8,8,3
HSB132.STC,Human,HSB132,388,STC,8,8,3
HSB132.STR,Human,HSB132,388,STR,8,8,3
HSB132.V1C,Human,HSB132,388,V1C,8,8,3
HSB132.VFC,Human,HSB132,388,VFC,8,8,3
HSB139.A1C,Human,HSB139,388,A1C,8,8,3
HSB139.AMY,Human,HSB139,388,AMY,8,8,3
HSB139.CBC,Human,HSB139,388,CBC,8,8,3
HSB139.DFC,Human,HSB139,388,DFC,8,8,3
HSB139.IPC,Human,HSB139,388,IPC,8,8,3
HSB139.ITC,Human,HSB139,388,ITC,8,8,3
HSB139.M1C,Human,HSB139,388,M1C,8,8,3
HSB139.MD,Human,HSB139,388,MD,8,8,3
HSB139.MFC,Human,HSB139,388,MFC,8,8,3
HSB139.OFC,Human,HSB139,388,OFC,8,8,3
HSB139.S1C,Human,HSB139,388,S1C,8,8,3
HSB139.STC,Human,HSB139,388,STC,8,8,3
HSB139.V1C,Human,HSB139,388,V1C,8,8,3
HSB139.VFC,Human,HSB139,388,VFC,8,8,3
HSB171.CBC,Human,HSB171,567,CBC,9,9,3
HSB171.MFC,Human,HSB171,567,MFC,9,9,3
HSB171.OFC,Human,HSB171,567,OFC,9,9,3
HSB171.STC,Human,HSB171,567,STC,9,9,3
HSB171.VFC,Human,HSB171,567,VFC,9,9,3
HSB122.A1C,Human,HSB122,631,A1C,9,9,3
HSB122.AMY,Human,HSB122,631,AMY,9,9,3
HSB122.CBC,Human,HSB122,631,CBC,9,9,3
