"","time","cellType","name"
"226",4,"RG","13-4"
"227",4,"IPC","14-4"
"228",4,"Other","15-4"
"229",4,"Other","16-4"
"230",4,"IPC","17-4"
"231",4,"Other","18-4"
"232",4,"Other","19-4"
"233",4,"Other","20-4"
"234",4,"IN","21-4"
"235",4,"IN","22-4"
"236",4,"Other","23-4"
"237",4,"IPC","24-4"
"238",4,"RG","25-4"
"239",4,"IN","26-4"
"240",4,"IN","27-4"
"241",4,"IPC","28-4"
"242",4,"IPC","29-4"
"243",4,"IN","30-4"
"244",4,"Other","31-4"
"245",4,"Other","32-4"
"246",4,"Other","33-4"
"247",4,"IPC","34-4"
"248",4,"Other","35-4"
"249",4,"IN","36-4"
"250",4,"RG","37-4"
"251",4,"Other","38-4"
"252",4,"IPC","39-4"
"253",4,"Other","40-4"
"254",4,"IPC","41-4"
"255",4,"IPC","42-4"
"256",4,"IPC","43-4"
"257",4,"Other","44-4"
"258",4,"IPC","45-4"
"259",4,"Other","46-4"
"260",4,"IN","47-4"
"261",4,"IN","48-4"
"262",4,"IPC","49-4"
"263",4,"IN","50-4"
"264",4,"IN","51-4"
"265",4,"IN","52-4"
"266",4,"Other","53-4"
"267",4,"Other","54-4"
"268",4,"IPC","55-4"
"269",4,"Other","56-4"
"270",4,"Other","57-4"
"271",4,"IPC","58-4"
"272",4,"Other","59-4"
"273",4,"IPC","60-4"
"274",4,"IPC","61-4"
"275",4,"Other","62-4"
"276",4,"Other","63-4"
"277",4,"IPC","64-4"
"278",4,"Other","65-4"
"279",4,"Other","66-4"
"280",4,"IPC","67-4"
"281",4,"RG","68-4"
"282",4,"Other","69-4"
"283",4,"RG","70-4"
"284",4,"IPC","71-4"
"285",5,"IN","1-5"
"286",5,"Other","2-5"
"287",5,"RG","3-5"
"288",5,"RG","4-5"
"289",5,"RG","5-5"
"290",5,"RG","6-5"
"291",5,"Other","7-5"
"292",5,"Other","8-5"
"293",5,"Other","9-5"
"294",5,"EN","10-5"
"295",5,"EN","11-5"
"296",5,"Other","12-5"
"297",5,"Other","13-5"
"298",5,"RG","14-5"
"299",5,"Other","15-5"
"300",5,"RG","16-5"
"301",5,"Other","17-5"
"302",5,"Other","18-5"
"303",5,"Other","19-5"
"304",5,"Other","20-5"
"305",5,"RG","21-5"
"306",5,"Other","22-5"
"307",5,"Other","23-5"
"308",5,"IN","24-5"
"309",5,"EN","25-5"
"310",5,"Other","26-5"
"311",5,"Other","27-5"
"312",5,"IPC","28-5"
"313",5,"Other","29-5"
"314",5,"Other","30-5"
"315",5,"Other","31-5"
"316",5,"EN","32-5"
"317",5,"EN","33-5"
"318",5,"RG","34-5"
"319",5,"RG","35-5"
"320",5,"RG","36-5"
"321",5,"RG","37-5"
"322",5,"Other","38-5"
"323",5,"IPC","39-5"
"324",5,"Other","40-5"
"325",5,"Other","41-5"
"326",5,"Other","42-5"
"327",5,"Other","43-5"
"328",5,"IPC","44-5"
"329",5,"Other","45-5"
"330",5,"IPC","46-5"
"331",5,"RG","47-5"
"332",5,"Other","48-5"
"333",5,"Other","49-5"
"334",5,"IN","50-5"
"335",5,"Other","51-5"
"336",5,"Other","52-5"
"337",5,"Other","53-5"
