,time,PAM Cluster
HSB96.IPC,5,2
HSB96.MD,5,2
HSB96.MFC,5,2
HSB96.MSC,5,2
HSB96.STC,5,2
HSB96.STR,5,2
HSB96.V1C,5,2
HSB96.VFC,5,2
HSB97.A1C,5,2
HSB97.AMY,5,2
HSB97.CBC,5,2
HSB97.DFC,5,2
HSB97.HIP,5,2
HSB97.IPC,5,2
HSB97.MD,5,2
HSB97.MFC,5,2
HSB97.MSC,5,2
HSB97.OFC,5,2
HSB97.STC,5,2
HSB97.STR,5,2
HSB97.V1C,5,2
HSB97.VFC,5,2
HSB98.A1C,6,2
HSB98.DFC,6,2
HSB98.HIP,6,2
HSB98.IPC,6,2
HSB98.MD,6,2
HSB98.MFC,6,2
HSB98.MSC,6,2
HSB98.STC,6,2
HSB98.STR,6,2
HSB98.V1C,6,2
HSB98.VFC,6,2
HSB107.AMY,6,2
HSB107.CBC,6,2
HSB107.DFC,6,2
HSB107.HIP,6,2
HSB107.ITC,6,2
HSB107.MD,6,2
HSB107.MFC,6,2
HSB107.OFC,6,2
HSB107.STC,6,2
HSB107.STR,6,2
HSB107.V1C,6,2
HSB107.VFC,6,2
HSB92.AMY,6,2
HSB92.CBC,6,2
HSB92.IPC,6,2
HSB92.HIP,6,2
HSB92.DFC,6,2
HSB92.VFC,6,2
HSB92.OFC,6,2
HSB92.MD,6,2
HSB92.S1C,6,2
HSB92.M1C,6,2
HSB92.MFC,6,2
HSB92.STC,6,2
HSB92.STR,6,2
HSB92.V1C,6,2
HSB92.ITC,6,2
HSB159.A1C,6,2
HSB159.AMY,6,2
HSB159.CBC,6,2
HSB159.DFC,6,2
HSB159.HIP,6,2
HSB159.IPC,6,2
HSB159.ITC,6,2
HSB159.M1C,6,2
HSB159.MD,6,2
HSB159.MFC,6,2
HSB159.OFC,6,2
HSB159.S1C,6,2
HSB159.STC,6,2
HSB159.STR,6,2
HSB159.V1C,6,2
HSB159.VFC,6,2
HSB194.A1C,7,3
HSB194.CBC,7,3
HSB194.DFC,7,3
HSB194.HIP,7,3
HSB194.IPC,7,3
HSB194.ITC,7,3
HSB194.M1C,7,3
HSB194.MFC,7,3
HSB194.OFC,7,3
HSB194.S1C,7,3
HSB194.STC,7,3
HSB194.STR,7,3
HSB194.V1C,7,3
HSB194.VFC,7,3
HSB132.A1C,8,3
HSB132.AMY,8,3
HSB132.CBC,8,3
HSB132.HIP,8,3
HSB132.IPC,8,3
HSB132.ITC,8,3
HSB132.M1C,8,3
HSB132.MD,8,3
HSB132.MFC,8,3
HSB132.S1C,8,3
HSB132.STC,8,3
HSB132.STR,8,3
HSB132.V1C,8,3
HSB132.VFC,8,3
HSB139.A1C,8,3
HSB139.AMY,8,3
HSB139.CBC,8,3
HSB139.DFC,8,3
HSB139.IPC,8,3
HSB139.ITC,8,3
HSB139.M1C,8,3
HSB139.MD,8,3
HSB139.MFC,8,3
HSB139.OFC,8,3
HSB139.S1C,8,3
HSB139.STC,8,3
HSB139.V1C,8,3
HSB139.VFC,8,3
HSB171.CBC,9,3
HSB171.MFC,9,3
HSB171.OFC,9,3
HSB171.STC,9,3
HSB171.VFC,9,3
HSB122.A1C,9,3
HSB122.AMY,9,3
HSB122.CBC,9,3
HSB122.DFC,9,3
HSB122.HIP,9,3
HSB122.IPC,9,3
HSB122.ITC,9,3
HSB122.M1C,9,3
HSB122.MD,9,3
HSB122.MFC,9,3
HSB122.OFC,9,3
HSB122.S1C,9,3
HSB122.STC,9,3
HSB122.STR,9,3
HSB122.V1C,9,3
HSB122.VFC,9,3
HSB173.CBC,10,3
HSB172.CBC,10,3
HSB118.A1C,10,3
HSB118.CBC,10,3
HSB118.IPC,10,3
HSB118.M1C,10,3
HSB118.MD,10,3
HSB141.A1C,11,3
HSB141.CBC,11,3
HSB141.HIP,11,3
HSB141.IPC,11,3
HSB141.M1C,11,3
HSB141.MD,11,3
HSB141.OFC,11,3
HSB141.S1C,11,3
HSB141.STC,11,3
HSB141.V1C,11,3
HSB174.A1C,11,3
HSB174.AMY,11,3
HSB174.CBC,11,3
HSB174.HIP,11,3
HSB174.IPC,11,3
HSB174.OFC,11,3
HSB174.STC,11,3
HSB174.V1C,11,3
HSB174.VFC,11,3
HSB175.A1C,11,3
HSB175.AMY,11,3
HSB175.CBC,11,3
HSB175.DFC,11,3
HSB175.HIP,11,3
HSB175.IPC,11,3
HSB175.ITC,11,3
HSB175.M1C,11,3
HSB175.MFC,11,3
HSB175.OFC,11,3
HSB175.S1C,11,3
HSB175.STC,11,3
HSB175.V1C,11,3
HSB175.VFC,11,3
HSB124.A1C,12,3
HSB124.CBC,12,3
HSB124.DFC,12,3
HSB124.IPC,12,3
HSB124.ITC,12,3
HSB124.M1C,12,3
HSB124.MFC,12,3
HSB124.OFC,12,3
HSB124.S1C,12,3
HSB124.STC,12,3
HSB124.V1C,12,3
HSB124.VFC,12,3
HSB119.A1C,12,3
HSB119.AMY,12,3
HSB119.CBC,12,3
HSB119.DFC,12,3
HSB119.IPC,12,3
HSB119.ITC,12,3
HSB119.M1C,12,3
HSB119.MD,12,3
HSB119.MFC,12,3
