"","time","cellType","name"
"1",1,"Other","1-1"
"2",1,"Other","2-1"
"3",1,"Other","3-1"
"4",1,"RG","4-1"
"5",1,"Other","5-1"
"6",1,"Other","6-1"
"7",1,"Other","7-1"
"8",1,"Other","8-1"
"9",1,"Other","9-1"
"10",1,"Other","10-1"
"11",1,"Other","11-1"
"12",1,"Other","12-1"
"13",1,"Other","13-1"
"14",1,"Other","14-1"
"15",1,"Other","15-1"
"16",1,"Other","16-1"
"17",1,"Other","17-1"
"18",1,"Other","18-1"
"19",1,"Other","19-1"
"20",1,"Other","20-1"
"21",1,"Other","21-1"
"22",1,"Other","22-1"
"23",1,"Other","23-1"
"24",1,"Other","24-1"
"25",1,"Other","25-1"
"26",1,"Other","26-1"
"27",1,"Other","27-1"
"28",1,"Other","28-1"
"29",1,"Other","29-1"
"30",1,"Other","30-1"
"31",1,"Other","31-1"
"32",1,"Other","32-1"
"33",1,"Other","33-1"
"34",1,"Other","34-1"
"35",1,"Other","35-1"
"36",1,"Other","36-1"
"37",1,"Other","37-1"
"38",1,"Other","38-1"
"39",1,"Other","39-1"
"40",1,"Other","40-1"
"41",1,"Other","41-1"
"42",1,"Other","42-1"
"43",1,"Other","43-1"
"44",1,"Other","44-1"
"45",1,"Other","45-1"
"46",1,"Other","46-1"
"47",1,"Other","47-1"
"48",1,"Other","48-1"
"49",1,"Other","49-1"
"50",1,"Other","50-1"
"51",1,"Other","51-1"
"52",1,"RG","52-1"
"53",1,"Other","53-1"
"54",1,"Other","54-1"
"55",1,"RG","55-1"
"56",1,"Other","56-1"
"57",1,"Other","57-1"
"58",1,"Other","58-1"
"59",1,"Other","59-1"
"60",1,"Other","60-1"
"61",1,"Other","61-1"
"62",1,"RG","62-1"
"63",1,"Other","63-1"
"64",1,"Other","64-1"
"65",1,"RG","65-1"
"66",1,"RG","66-1"
"67",1,"Other","67-1"
"68",1,"RG","68-1"
"69",1,"RG","69-1"
"70",1,"Other","70-1"
"71",2,"Other","1-2"
"72",2,"Other","2-2"
"73",2,"Other","3-2"
"74",2,"Other","4-2"
"75",2,"Other","5-2"
"76",2,"RG","6-2"
"77",2,"RG","7-2"
"78",2,"IN","8-2"
"79",2,"RG","9-2"
"80",2,"EN","10-2"
"81",2,"Other","11-2"
"82",2,"Other","12-2"
"83",2,"RG","13-2"
"84",2,"RG","14-2"
"85",2,"RG","15-2"
"86",2,"RG","16-2"
"87",2,"RG","17-2"
"88",2,"RG","18-2"
"89",2,"RG","19-2"
"90",2,"RG","20-2"
"91",2,"Other","21-2"
"92",2,"Other","22-2"
"93",2,"Other","23-2"
"94",2,"Other","24-2"
"95",2,"Other","25-2"
"96",2,"Other","26-2"
"97",2,"Other","27-2"
"98",2,"Other","28-2"
"99",2,"Other","29-2"
"100",2,"Other","30-2"
"101",2,"Other","31-2"
"102",2,"Other","32-2"
"103",2,"Other","33-2"
"104",2,"Other","34-2"
"105",2,"Other","35-2"
"106",2,"Other","36-2"
"107",2,"Other","37-2"
"108",2,"Other","38-2"
"109",2,"Other","39-2"
"110",2,"Other","40-2"
"111",2,"Other","41-2"
"112",2,"Other","42-2"
"113",2,"Other","43-2"
"114",2,"Other","44-2"
"115",2,"Other","45-2"
"116",2,"Other","46-2"
"117",2,"Other","47-2"
"118",2,"Other","48-2"
"119",2,"Other","49-2"
"120",2,"Other","50-2"
"121",2,"Other","51-2"
"122",2,"Other","52-2"
"123",2,"Other","53-2"
"124",2,"Other","54-2"
"125",2,"Other","55-2"
"126",2,"Other","56-2"
"127",2,"Other","57-2"
"128",2,"Other","58-2"
"129",2,"Other","59-2"
"130",2,"Other","60-2"
"131",2,"Other","61-2"
"132",2,"Other","62-2"
"133",2,"Other","63-2"
"134",2,"Other","64-2"
"135",2,"Other","65-2"
"136",2,"Other","66-2"
"137",2,"Other","67-2"
"138",2,"Other","68-2"
"139",2,"Other","69-2"
"140",2,"Other","70-2"
"141",3,"IN","1-3"
"142",3,"Other","2-3"
"143",3,"Other","3-3"
"144",3,"IN","4-3"
"145",3,"IN","5-3"
"146",3,"Other","6-3"
"147",3,"IN","7-3"
"148",3,"Other","8-3"
"149",3,"Other","9-3"
"150",3,"RG","10-3"
"151",3,"Other","11-3"
"152",3,"Other","12-3"
"153",3,"Other","13-3"
"154",3,"Other","14-3"
"155",3,"Other","15-3"
"156",3,"Other","16-3"
"157",3,"Other","17-3"
"158",3,"IN","18-3"
"159",3,"Other","19-3"
"160",3,"Other","20-3"
"161",3,"RG","21-3"
"162",3,"EN","22-3"
"163",3,"EN","23-3"
"164",3,"EN","24-3"
"165",3,"RG","25-3"
"166",3,"EN","26-3"
"167",3,"RG","27-3"
"168",3,"RG","28-3"
"169",3,"EN","29-3"
